Time,DBUK1,DCLY,DFHM,DGRN,DHOC,DWCH,DWCC,DWBD,DMTC,DWPK,DWWK,DWHW,DLWG,DNOT,DSGM,DTDF,DBLK,DDAG,DDFS,DGES,DGUM,DWDS,DSEA,DSMY,DSTK,DTOW,DWAR,DLAU
2018-09-07 00:00,0.242479166666667,0.163263888888889,0.278638888888889,0.186347222222222,0.20934375,0.346326388888889,0.270104166666667,NaN,NaN,NaN,0.323413194444444,0.241597222222222,0.3544375,0.349722222222222,0.316506944444444,0.219746527777778,0.267170138888889,0.1071875,0.167833333333333,0.0575763888888889,0.0591631944444445,0.138121527777778,0.107052083333333,0.306138888888889,0.103125,0.271024305555555,0.10015625,0.0598888888888889
2018-09-08 00:00,0.2895,0.299402777777778,0.308802083333333,0.227305555555556,0.253993055555556,0.378829861111111,0.314979166666667,NaN,0.270690972222222,NaN,0.375760416666667,0.32103125,0.368079861111111,0.362496527777778,0.363822916666667,0.306670138888889,0.276385416666667,0.205972222222222,0.167229166666667,0.114878472222222,0.11684375,0.136,0.150534722222222,0.324979166666667,0.15778125,0.269371527777778,0.149371527777778,0.0832986111111111
2018-09-09 00:00,0.368555555555556,0.366034722222222,0.369211805555556,0.276371527777778,0.31575,0.424892361111111,0.382583333333333,NaN,0.31134375,NaN,0.410822916666667,0.399472222222222,0.394190972222222,0.39753125,0.413263888888889,0.329975694444444,0.319027777777778,0.20140625,0.210013888888889,0.149875,0.139715277777778,0.151607638888889,0.187413194444444,0.33,0.143451388888889,0.309371527777778,0.171802083333333,0.0927986111111111
2018-09-10 00:00,0.376333333333333,0.380083333333333,0.377819444444444,0.278145833333333,0.332767361111111,0.442496527777778,0.3725,NaN,0.310465277777778,NaN,0.42228125,0.394576388888889,0.393409722222222,0.402607638888889,0.429520833333333,0.329465277777778,0.32828125,0.224159722222222,0.232767361111111,0.186798611111111,0.155854166666667,0.245309027777778,0.205965277777778,0.33,0.152875,0.348590277777778,0.188357638888889,0.147447916666667
2018-09-11 00:00,0.359725694444444,0.323006944444444,0.364173611111111,0.265732638888889,0.322548611111111,0.41634375,0.365107638888889,NaN,0.301,NaN,0.393107638888889,0.368239583333333,0.382232638888889,0.389760416666667,0.404833333333333,0.312847222222222,0.322135416666667,0.174788194444444,0.215565972222222,0.169322916666667,0.139211805555556,0.250833333333333,0.18540625,0.329979166666667,0.127763888888889,0.338618055555556,0.159534722222222,0.145085648148148
2018-09-12 00:00,0.355173611111111,0.301288194444444,0.352836805555556,0.256364583333333,0.306493055555556,0.404,0.349274305555556,NaN,NaN,NaN,0.377756944444445,0.3498125,0.3794375,0.378097222222222,0.362902777777778,0.304180555555556,0.31784375,0.160972222222222,0.214934027777778,0.161038194444444,0.14525,0.260770833333333,0.178111111111111,0.329527777777778,0.121229166666667,0.343541666666667,0.155697916666667,0.157138888888889
2018-09-13 00:00,0.352961805555556,0.290871527777778,0.346736111111111,0.255715277777778,0.301944444444445,0.398149305555556,0.3438125,NaN,NaN,NaN,0.366666666666667,0.348114583333333,0.383892361111111,0.36684375,0.346225694444444,0.293267361111111,0.315871527777778,0.154680555555556,0.204645833333333,0.154857638888889,0.131388888888889,0.249423611111111,0.171152777777778,0.326940972222222,0.115045138888889,0.3376875,0.148024305555556,0.145579861111111
2018-09-14 00:00,0.346944444444444,0.2865,0.342048611111111,0.250427083333333,0.292486111111111,0.390881944444444,0.336059027777778,NaN,NaN,NaN,0.365572916666667,0.336940972222222,0.377826388888889,0.360986111111111,0.341975694444444,0.288565972222222,0.316572916666667,0.157385416666667,0.20028125,0.162475694444444,0.134854166666667,0.246791666666667,0.18709375,0.321079861111111,0.127631944444444,0.332819444444445,0.147909722222222,0.144333333333333
2018-09-15 00:00,0.34521875,0.277954861111111,0.338208333333333,0.246625,0.285690972222222,0.388690972222222,0.327729166666667,NaN,NaN,NaN,0.365666666666667,0.325510416666667,0.372517361111111,0.357621527777778,0.339197916666667,0.285642361111111,0.314166666666667,0.155458333333333,0.197118055555556,0.168684027777778,0.130208333333333,0.246784722222222,0.186993055555556,0.317732638888889,0.126184027777778,0.328482638888889,0.14471875,0.145486111111111
2018-09-16 00:00,0.344145833333333,0.265947916666667,0.333732638888889,0.241975694444444,0.277159722222222,0.381315972222222,0.316503472222222,NaN,NaN,NaN,0.36234375,0.307267361111111,0.367315972222222,0.355118055555555,0.330364583333333,0.279805555555556,0.308753472222222,0.151729166666667,0.19328125,0.162465277777778,0.123572916666667,0.242003472222222,0.176631944444444,0.314454861111111,0.11771875,0.323225694444444,0.137388888888889,0.142430555555556
